Category,Name,Type,Description
instant foods,Cup noodle,Instant foods,"Cup noodles[1] are precooked instant noodles with flavoring powder and/or seasoning sauce sold in a polystyrene, polyethylene, or paper cup."
instant foods,List of instant noodle brands,Instant foods,This is a list of instant noodle brands.
instant foods,Instant pudding,Instant foods,Instant pudding is an instant food product that is manufactured in a powder form and used to create puddings and pie filling.
instant foods,Instant rice,Instant foods,Instant rice is rice that has been precooked.
instant foods,Minute Rice,Instant foods,Minute Rice is a brand of instant rice.
instant foods,S&B Foods,Instant foods,S&B Foods Inc.
dried foods,Instant soup,Processed foods,Instant soup is a type of soup designed for fast and simple preparation.
instant foods,Cup-a-Soup,Instant foods,Cup-a-Soup is an instant soup product sold under various brands worldwide.
dried foods,Portable soup,Processed foods,Portable soup was a kind of dehydrated food used in the 18th and 19th centuries.
instant foods,List of chocolate beverages,Instant foods,This is a list of notable chocolate drinks.
instant foods,Swiss Miss,Instant foods,Swiss Miss is a brand name for cocoa powder and pudding products invented by Charles Sanna and sold by American food company Conagra Brands.
instant foods,Nesquik,Instant foods,Nesquik is a brand of products made by Swiss company Nestlé.
instant foods,Ovaltine,Instant foods,"Ovaltine (Ovomaltine originally and in foreign markets) is a brand of milk flavoring product made with malt extract (except in the blue packaging in the United States), sugar (except in Switzerland), and whey."
dried foods,Instant coffee,Processed foods,"Instant coffee, also called soluble coffee, coffee crystals, and coffee powder, is a beverage derived from brewed coffee beans that enables people to quickly prepare hot coffee by adding hot water or milk to the powder or crystals and stirring."
instant foods,Drink mix,Instant foods,"A drink mix, or powdered drink mix is a processed-food product, a powder designed to mix usually with water to produce a beverage resembling fruit juice or soda in flavor."
instant foods,Freeze-drying,Instant foods,"Freeze drying, also known as lyophilisation or cryodesiccation, is a low temperature dehydration process[1] that involves freezing the product, lowering pressure, then removing the ice by sublimation."
dried foods,Powdered milk,Processed foods,"Powdered milk, also called dried milk, or milk powder,[1] is a manufactured dairy product made by evaporating milk to dryness."
instant foods,Tang (drink),Instant foods,Tang is an American drink mix brand that was formulated by General Foods Corporation food scientist William A.
instant foods,Instant tea,Instant foods,"Instant tea is a powder in which water is added, in order to reconstitute it into a cup of tea."
instant foods,Field ration,Instant foods,"A field ration (also known as combat ration, ration pack, or food packet) is a canned or pre-packaged meal, easily prepared and consumed by military troops."
instant foods,Humanitarian daily ration,Instant foods,Humanitarian daily rations (HDRs) are food rations manufactured in the United States intended to be supplied to civilians and other non-military personnel in humanitarian crises.
instant foods,Individual Meal Pack,Instant foods,The Individual Meal Pack or IMP is one type of field ration used by the Canadian Forces.
instant foods,"Meal, Ready-to-Eat",Instant foods,"The Meal, Ready-to-Eat – commonly known as the MRE – is a self-contained, individual field ration in lightweight packaging bought by the United States Department of Defense for its service members for use in combat or other field conditions where organized food facilities are not available."
instant foods,Military rations,Instant foods,Military rations are food intended to feed military personnel.
dried foods,Baker's yeast,Processed foods,"Baker's yeast is the common name for the strains of yeast commonly used in baking bread and bakery products, serving as a leavening agent which causes the bread to rise (expand and become lighter and softer) by converting the fermentable sugars present in the dough into carbon dioxide and ethanol."
dried foods,Bouillon cube,Processed foods,"A bouillon cube /ˈbuːjɒn/ (Canada and US) or stock cube (Australia, Ireland, New Zealand, South Africa and UK), broth cube (Philippines) or stock pot (UK) is dehydrated broth or stock formed into a small cube about 13 mm (1⁄2 in) wide."
dried foods,Freeze-dried ice cream,Processed foods,"Freeze-dried ice cream is ice cream that has had most of the water removed from it by a freeze-drying process, sealed in a pouch, and requires no refrigeration."
dried foods,Jellyfish as food,Processed foods,Some species of jellyfish are suitable for human consumption and are used as a source of food and as an ingredient in various dishes.
dried foods,Evaporated milk,Processed foods,"Evaporated milk, known in some countries as ""unsweetened condensed milk"",[1] is a shelf-stable canned cow’s milk product where about 60% of the water has been removed from fresh milk."
dried foods,Non-dairy creamer,Processed foods,"A non-dairy creamer, commonly called tea whitener or coffee whitener is a liquid or granular substance intended to substitute for milk or cream as an additive to coffee, tea, hot chocolate or other beverages."
dried foods,Nutritional yeast,Processed foods,"Nutritional yeast is a deactivated yeast, often a strain of Saccharomyces cerevisiae, that is sold commercially as a food product."
dried foods,Snack bar,Processed foods,A snack bar usually refers to an inexpensive food counter that is part of a permanent structure where snack foods and light meals are sold.
dried foods,Tarhana,Processed foods,"Tarhana is a dried food ingredient, based on a fermented mixture of grain and yoghurt or fermented milk, found in the cuisines of Southeast Europe and the Middle East."
dried foods,Shrimp paste,Processed foods,Shrimp paste or prawn sauce is a fermented condiment commonly used in Southeast Asian and Southern Chinese cuisines.
dried foods,Ancho chili,Dried fruit,"The poblano (Capsicum annuum) is a mild chili pepper originating in the state of Puebla, Mexico."
dried foods,Dried apricot,Dried fruit,Dried apricots are a type of traditional dried fruit.
dried foods,Black lime,Dried fruit,"Dried lime, also known as: black lime;[1] noomi basra (Iraq);[2] limoo amani (Iran); and loomi (Oman),[3] is a lime that has lost its water content, usually after having spent a majority of its drying time in the sun."
dried foods,Chenpi,Dried fruit,"Chenpi, chen pi, or chimpi (simplified Chinese: 陈皮; traditional Chinese: 陳皮; pinyin: chénpí; lit."
dried foods,Dried cranberry,Dried fruit,"Dried cranberries are made by partially dehydrating fresh cranberries, a process similar to making grapes into raisins."
dried foods,Date palm,Dried fruit,"Phoenix dactylifera, commonly known as date or date palm,[2] is a flowering plant species in the palm family, Arecaceae, cultivated for its edible sweet fruit."
dried foods,Common fig,Dried fruit,"Ficus carica is an Asian species of flowering plant in the mulberry family, known as the common fig."
dried foods,Traditional dried fruit,Dried fruit,"Traditional or conventional dried fruits are types of dried fruits that are either sun-dried such as raisins and dried figs or dehydrated in wind tunnels and other dryers such as dried plums (prunes), apricots (kuraga), peaches, and persimmons (gotgam)."
dried foods,Goji,Dried fruit,"Goji, goji berry, or wolfberry (Chinese: 枸杞; pinyin: gǒuqǐ),  is the fruit of either Lycium barbarum or Lycium chinense, two closely related species of boxthorn in the nightshade family, Solanaceae."
dried foods,Gotgam,Dried fruit,Dried persimmon is a type of traditional dried fruit snack in East Asia.
dried foods,Guajillo chili,Dried fruit,"A guajillo chili or guajillo chile (chile guajillo in Spanish, meaning big pod) is the dried form of mirasol chili, a landrace variety of chile pepper of the species Capsicum annuum, and is the second-most commonly used dried chili in Mexican cuisine after poblanos (ancho)."
dried foods,Dried mango,Dried fruit,The mango fruit is commonly dried and eaten as a snack.
dried foods,Pasilla,Dried fruit,"The pasilla chile (/ˌpɑːˈsiːjə/ pah-SEE-yuh) or chile negro is the dried form of the chilaca chili pepper,[1] a long and narrow member of species Capsicum annuum."
dried foods,Peperone crusco,Dried fruit,"The peperone crusco (crispy pepper, PL peperoni cruschi) also known as crusco pepper,[2] is a typical product of the Italian region of Basilicata."
dried foods,Pink peppercorn,Dried fruit,"A pink peppercorn (French: baie rose, ""pink berry"") is a dried berry of the shrub Schinus molle, commonly known as the Peruvian peppertree."
dried foods,Raisin,Dried fruit,A raisin is a dried grape.
dried foods,Saladitos,Dried fruit,"Saladitos are plums which are dried, salted and which can also be sweetened with sugar and anise or coated in chili and lime."
dried foods,Sun-dried tomato,Dried fruit,Sun-dried tomatoes are ripe tomatoes that lose most of their water content after spending a majority of their drying time in the sun.
dried foods,Wolfberry,Dried fruit,"Goji, goji berry, or wolfberry (Chinese: 枸杞; pinyin: gǒuqǐ),  is the fruit of either Lycium barbarum or Lycium chinense, two closely related species of boxthorn in the nightshade family, Solanaceae."
dried foods,Chuño,Dried vegetables,"Chuño (Spanish pronunciation: [ˈtʃuɲo]) is a freeze-dried potato product traditionally made by Quechua and Aymara communities of Bolivia and Peru,[1] and is known in various countries of South America, including Argentina, Bolivia, Chile and Peru."
dried foods,Nori,Dried vegetables,"Nori (海苔) is the Japanese name for edible seaweed (a ""sea vegetable"") species of the red algae genus Pyropia, including P."
dried foods,Bean,Dried seeds,"A bean is the seed of one of several genera of the flowering plant family Fabaceae, which are used as vegetables for human or animal food."
dried foods,Food grain,Dried seeds,"A grain is a small, hard, dry seed, with or without an attached hull or fruit layer, harvested for human or animal consumption."
dried foods,Balyk,Dried fish and seafood,"Balyk (from Turkic balïq) is the salted and dried soft parts of fish, usually coming from large valuable species: acipenseridae (e."
dried foods,Boknafisk,Dried fish and seafood,"Boknafisk (either from saami boahkkeguolli or Norwegian bokna ""half dry"") is a variant of stockfish and is unsalted fish partially dried by sun and wind on drying flakes ('hjell') or on a wall."
dried foods,Budu (sauce),Dried fish and seafood,"Budu (Jawi: بودو; Thai: บูดู, RTGS: budu, pronounced [būːdūː]) is an anchovies sauce and one of the best known fermented seafood products in Kelantan, Terengganu in Malaysia, southern Thailand and Natuna islands in Indonesia (where it is called pedek or pedok) and South Sumatra, Bangka island and Western Kalimantan of Indonesia (where it is called rusip)."
dried foods,Conpoy,Dried fish and seafood,Conpoy or dried scallop is a type of Cantonese dried seafood product made from the adductor muscle of scallops.
dried foods,Fesikh,Dried fish and seafood,Fesikh or fseekh (Egyptian Arabic: فسيخ‎ fisīḵ pronounced [fɪˈsiːx]) is a traditional celebratory ancient Egyptian dish.
dried foods,Juipo,Dried fish and seafood,Jwipo (Korean: 쥐포) is a traditional Korean pressed fish jerky sold as a street snack.
dried foods,Kusaya,Dried fish and seafood,"Kusaya (くさや) is a Japanese style salted, dried and fermented fish."
dried foods,Mackerel,Dried fish and seafood,"Mackerel is a common name applied to a number of different species of pelagic fish, mostly from the family Scombridae."
dried foods,Mojama,Dried fish and seafood,"Mojama (in Spain; Mosciame in Italy; Muxama in Portugal) is a mediterranean delicacy consisting of filleted salt-cured tuna, typical from Huelva and Cádiz (Spain)."
dried foods,Rousong,Dried meats,"Rousong or yuk sung (pronounced [ɻôusʊ́ŋ]; Chinese: 肉鬆; Cantonese Yale: yuk6 sung1), also known as meat floss, is a dried meat product with a light and fluffy texture similar to coarse cotton, originating from China."
